Shloka,EngMeaning
"योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः |
धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः ||१-२३||","1.23. For I desire to observe those who are assembled here to fight,
wishing to please in battle the evil-minded Duryodhana (the son of Dhritarashtra)."
"सञ्जय उवाच |
एवमुक्तो हृषीकेशो गुडाकेशेन भारत |
सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् ||१-२४||","1.24. Sanjaya said  Thus addressed by Arjuna, Krishna, having stationed that
best of chariots, O Dhritarashtra, in the midst of the two armies."
"भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् |
उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति ||१-२५||","1.25. In front of Bhishma and Drona, and all the rulers of the
earth, said: ""O Arjuna (son of Pritha), behold these Kurus gathered together."""
"तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान् |
आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा ||१-२६||","1.26. Then, Arjuna (son of Pritha) saw there (in the armies) stationed,
fathers and grandfathers, teachers, maternal uncles, brothers, sons, grandsons
and friends too."
"श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि |
तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् ||१-२७||","1.27. (He saw) fathers-in-law and friends also in both the armies.
The son of Kunti, Arjuna, seeing all those kinsmen thus standing arrayed,
spoke this, sorrowfully filled with deep pity."
"कृपया परयाविष्टो विषीदन्निदमब्रवीत् |
अर्जुन उवाच |
दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् ||१-२८||","1.28. Arjuna said  Seeing these, my kinsmen, O krishna, arrayed, eager to fight."
"सीदन्ति मम गात्राणि मुखं च परिशुष्यति |
वेपथुश्च शरीरे मे रोमहर्षश्च जायते ||१-२९||","1.29. My limbs fail and my mouth is parched, my body ivers and
my hair stands on end."
"गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते |
न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः ||१-३०||","1.30. The (bow) Gandiva slips from my hand, and also my skins burns
all over; I am unable even to stand and my mind is reeling, as it were."
"निमित्तानि च पश्यामि विपरीतानि केशव |
न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे ||१-३१||","1.31. And I see adverse omens, O Kesava. I do not see any good
in killing my kinsmen in battle."
"न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च |
किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा ||१-३२||","1.32. I desire not victory, O Krishna, nor kingdom, nor pleasures.
Of what avail is dominion to us, O Krishna, or pleasures or even life?"
"येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च |
त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च ||१-३३||","1.33. Those for whose sake we desire kingdom, enjoyments and pleasures,
stand here in battle, having renounced life and wealth."
"आचार्याः पितरः पुत्रास्तथैव च पितामहाः |
मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा ||१-३४||","1.34. Teachers, fathers, sons and also grandfathers, maternal uncles,
fathers-in-law, grandsons, brothers-in-law and other relatives,-"
"एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन |
अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते ||१-३५||","1.35. These I do not wish to kill, though they kill me, O Krishna,
even for the sake of dominion over the three worlds; leave alone killing
them for the sake of the earth."
"निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन |
पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः ||१-३६||","1.36. By killing these sons of Dhritarashtra, what pleasure can
be ours, O Janardana? Only sin will accrue to us from killing these felons."
"तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान् |
स्वजनं हि कथं हत्वा सुखिनः स्याम माधव ||१-३७||","1.37. Therefore, we should not kill the sons of Dhritarashtra,
our relatives; for how can we be happy by killing our own people, O Madhava
(Krishna)?"
"यद्यप्येते न पश्यन्ति लोभोपहतचेतसः |
कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् ||१-३८||","1.38. Though they, with intelligence overpowered by greed, see
no evil in the destruction of families, and no sin in hostility to friends,"
"कथं न ज्ञेयमस्माभिः पापादस्मान्निवर्तितुम् |
कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन ||१-३९||","1.39. Why should not we who clearly see evil in the destruction
of families, learn to turn away from this sin, O Janardana (Krishna)?"
"कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः |
धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत ||१-४०||","1.40. In the destruction of a family, the immemorial religious
rites of that family perish; on the destruction of spirituality, impiety,
indeed, overcomes the whole family."
"अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः |
स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः ||१-४१||","1.41. By the prevalence of impiety, O Krishna, the women of
the family become corrupt; and , women being corrupted, O Varshenya (descendant
of Vrishni), there arises intermingling of castes."
"सङ्करो नरकायैव कुलघ्नानां कुलस्य च |
पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः ||१-४२||","1.42. Confusion of castes leads to hell the slayers of the family,
for their forefathers fall, deprived of the offerings of rice-ball and
water (libations)."
"दोषैरेतैः कुलघ्नानां वर्णसङ्करकारकैः |
उत्साद्यन्ते जातिधर्माः कुलधर्माश्च शाश्वताः ||१-४३||","1.43. By these evil deeds of the destroyers of the family, which
cause confusion of castes, the eternal religious rites of the caste and
the family are destroyed."
"उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन |
नरके नियतं वासो भवतीत्यनुशुश्रुम (or नरकेऽनियतं) ||१-४४||","1.44. We have heard, O Janardana, that inevitable is the dwelling
for an unknown period in hell for those men in whose families the religious
practices have been destroyed."
"अहो बत महत्पापं कर्तुं व्यवसिता वयम् |
यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः ||१-४५||","1.45. Alas! We are involved in a great sin, in that we are
prepared to kill our kinsmen, through greed for the pleasures of a kingdom."
"यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः |
धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् ||१-४६||","1.46. If the sons of Dhritarashtra with weapons in hand should
slay me in battle, unresisting and unarmed, that would be better for me."
"सञ्जय उवाच |
एवमुक्त्वार्जुनः सङ्ख्ये रथोपस्थ उपाविशत् |
विसृज्य सशरं चापं शोकसंविग्नमानसः ||१-४७||","1.47. Sanjaya said  Having thus spoken in the midst of the battlefield, Arjuna,
casting away his bow and arrow, sat down on the seat of the chariot with
his mind overwhelmed with sorrow."
"सञ्जय उवाच |
तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम् |
विषीदन्तमिदं वाक्यमुवाच मधुसूदनः ||२-१||","2.1 Sanjaya said  To him who was thus overcome with pity and who was despondent, with eyes full of tears and agitated, Madhusudana (the destroyer of Madhu) or Krishna spoke these words."
"श्रीभगवानुवाच |
कुतस्त्वा कश्मलमिदं विषमे समुपस्थितम् |
अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन ||२-२||","2.2 The Blessed Lord said  Whence is this perilous strait come upon thee, this dejection which is unworthy of you, disgraceful, and which will close the gates of heaven upon you, O Arjuna?"
"क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते |
क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप ||२-३||","2.3 Yield not to impotence, O Arjuna, son of Pritha. It does not befit thee. Cast off this mean weakness of the heart! Stand up, O scorcher of the foes!"
"अर्जुन उवाच |
कथं भीष्ममहं सङ्ख्ये द्रोणं च मधुसूदन |
इषुभिः प्रतियोत्स्यामि पूजार्हावरिसूदन ||२-४||","2.4 Arjuna said  How, O Madhusudana, shall I fight in battle with arrows against Bhishma and Drona, who are fit to be worshipped, O destroyer of enemies?"
"गुरूनहत्वा हि महानुभावान्
श्रेयो भोक्तुं भैक्ष्यमपीह लोके |
हत्वार्थकामांस्तु गुरूनिहैव
भुञ्जीय भोगान् रुधिरप्रदिग्धान् ||२-५||","2.5 Better it is, indeed, in this world to accept alms than to slay the most noble teachers. But if I kill them, even in this world all my enjoyments of wealth and fulfilled desires will be stained with (their) blood."
"न चैतद्विद्मः कतरन्नो गरीयो
यद्वा जयेम यदि वा नो जयेयुः |
यानेव हत्वा न जिजीविषामस्-
तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः ||२-६||","2.6 I can hardly tell which will be better, that we should  coner them or that they should coner us. Even the sons of Dhritarashtra, after slaying whom we do not wish to live, stand facing us."
"कार्पण्यदोषोपहतस्वभावः
पृच्छामि त्वां धर्मसम्मूढचेताः |
यच्छ्रेयः स्यान्निश्चितं ब्रूहि तन्मे
शिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम् ||२-७||",2.7 My heart is overpowered by the taint of pity; my mind is confused as to duty. I ask Thee: Tell me decisively what is good for me. I am Thy disciple. Instruct me who has taken refuge in Thee.
"न हि प्रपश्यामि ममापनुद्याद्
यच्छोकमुच्छोषणमिन्द्रियाणाम् |
अवाप्य भूमावसपत्नमृद्धं
राज्यं सुराणामपि चाधिपत्यम् ||२-८||","2.8 I do not see that it would remove this sorrow that burns up my senses, even if I should attain prosperous and unrivalled dominion on earth or lordship over the gods."
"सञ्जय उवाच |
एवमुक्त्वा हृषीकेशं गुडाकेशः परन्तप |
न योत्स्य इति गोविन्दमुक्त्वा तूष्णीं बभूव ह ||२-९||","2.9 Sanjaya said  Having spoken thus to Hrishikesha (the Lord of the senses), Arjuna (the coneror of sleep), the destroyer of foes, said to Krishna, ""I will not fight"" and became silent."
"तमुवाच हृषीकेशः प्रहसन्निव भारत |
सेनयोरुभयोर्मध्ये विषीदन्तमिदं वचः ||२-१०||","2.10 To him who was despondent in the midst of the two armies, Krishna, as if smiling, O Bharata, spoke these words."
"श्रीभगवानुवाच |
अशोच्यानन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे |
गतासूनगतासूंश्च नानुशोचन्ति पण्डिताः ||२-११||","2.11 The Blessed Lord said  Thou hast grieved for those that should not be grieved for, yet thou speakest words of wisdom. The wise grieve neither for the living nor for the dead."
"न त्वेवाहं जातु नासं न त्वं नेमे जनाधिपाः |
न चैव न भविष्यामः सर्वे वयमतः परम् ||२-१२||","2.12 Nor at any time indeed was I not, nor thou, nor these rulers of men, nor verily shall we ever cease to be hereafter."
"देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा |
तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति ||२-१३||","2.13 Just as in this body the embodied (soul) passes into childhood, youth and old age, so also does it pass into another body; the firm man does not grieve thereat."
"मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदुःखदाः |
आगमापायिनोऽनित्यास्तांस्तितिक्षस्व भारत ||२-१४||","2.14 The contacts of the senses with the objects, O son of Kunti, which cause heat and cold, pleasure and pain, have a beginning and an end; they are impermanent; endure them bravely, O Arjuna."
"यं हि न व्यथयन्त्येते पुरुषं पुरुषर्षभ |
समदुःखसुखं धीरं सोऽमृतत्वाय कल्पते ||२-१५||","2.15 That firm man whom, surely, these afflict not, O chief among men, to whom pleasure and pain are the same, is fit for attaining immortality."
"नासतो विद्यते भावो नाभावो विद्यते सतः |
उभयोरपि दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभिः ||२-१६||",2.16 The unreal hath no being; there is non-being of the real; the truth about both has been seen by the knowers of the Truth (or the seers of the Essence).
"अविनाशि तु तद्विद्धि येन सर्वमिदं ततम् |
विनाशमव्ययस्यास्य न कश्चित्कर्तुमर्हति ||२-१७||","2.17 Know that to be indestructible, by Which all this is pervaded. None can cause the destruction of That, the Imperishable."
"अन्तवन्त इमे देहा नित्यस्योक्ताः शरीरिणः |
अनाशिनोऽप्रमेयस्य तस्माद्युध्यस्व भारत ||२-१८||","2.18 These bodies of the embodied Self, Which is eternal, indestructible and immeasurable, are said to have an end. Therefore fight, O Arjuna."
"य एनं वेत्ति हन्तारं यश्चैनं मन्यते हतम् |
उभौ तौ न विजानीतो नायं हन्ति न हन्यते ||२-१९||","2.19 He who takes the Self to be the slayer and he who thinks It is slain, neither of them ï1knowsï1. It slays not, nor is It slain."
"न जायते म्रियते वा कदाचिन्
नायं भूत्वा भविता वा न भूयः |
अजो नित्यः शाश्वतोऽयं पुराणो
न हन्यते हन्यमाने शरीरे ||२-२०||","2.20 It is not born, nor does It ever die; after having been, It again ceases not to be; unborn, eternal, changeless and ancient, It is not killed when the body is killed."
"वेदाविनाशिनं नित्यं य एनमजमव्ययम् |
कथं स पुरुषः पार्थ कं घातयति हन्ति कम् ||२-२१||","2.21 Whosoever knows It to be indestructible, eternal, unborn and inexhaustible, how can that man slay, O Arjuna, or cause to be slain?"
"वासांसि जीर्णानि यथा विहाय
नवानि गृह्णाति नरोऽपराणि |
तथा शरीराणि विहाय जीर्णा-
न्यन्यानि संयाति नवानि देही ||२-२२||","2.22 Just as a man casts off worn-out clothes and puts on new ones, so also the embodied Self casts off worn-out bodies and enters others which are new."
"नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावकः |
न चैनं क्लेदयन्त्यापो न शोषयति मारुतः ||२-२३||","2.23 Weapons cut It not, fire burns It not, water wets It not, wind dries It not."
"अच्छेद्योऽयमदाह्योऽयमक्लेद्योऽशोष्य एव च |
नित्यः सर्वगतः स्थाणुरचलोऽयं सनातनः ||२-२४||","2.24 This Self cannot be cut, burnt, wetted, nor dried up. It is eternal, all-pervading, stable, immovable and ancient."
"अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते |
तस्मादेवं विदित्वैनं नानुशोचितुमर्हसि ||२-२५||","2.25 This (Self) is said to be unmanifested, unthinkable and unchangeable. Therefore, knowing This to be such, thou shouldst not grieve."
"अथ चैनं नित्यजातं नित्यं वा मन्यसे मृतम् |
तथापि त्वं महाबाहो नैवं शोचितुमर्हसि ||२-२६||","2.26 But even if thou thinkest of It as being constantly born and constantly dying, even then, O mighty-armed, thou shouldst not grieve."
"जातस्य हि ध्रुवो मृत्युर्ध्रुवं जन्म मृतस्य च |
तस्मादपरिहार्येऽर्थे न त्वं शोचितुमर्हसि ||२-२७||","2.27 For certain is death for the born, and certain is birth for the dead; therefore, over the inevitable thou shouldst not grieve."
"अव्यक्तादीनि भूतानि व्यक्तमध्यानि भारत |
अव्यक्तनिधनान्येव तत्र का परिदेवना ||२-२८||","2.28 Beings are unmanifested in their beginning, manifested in their middle state, O Arjuna, and unmanifested again in their end. What is there to grieve about?"
"आश्चर्यवत्पश्यति कश्चिदेन-
माश्चर्यवद्वदति तथैव चान्यः |
आश्चर्यवच्चैनमन्यः शृणोति
श्रुत्वाप्येनं वेद न चैव कश्चित् ||२-२९||","2.29 One sees This (the Self) as a wonder; another speaks of It as a wonder; another hears of It as a wonder; yet having heard, none understands It at all."
"देही नित्यमवध्योऽयं देहे सर्वस्य भारत |
तस्मात्सर्वाणि भूतानि न त्वं शोचितुमर्हसि ||२-३०||","2.30 This, the Indweller in the body of everyone, is ever indestructible, O Arjuna; therefore, thou shouldst not grieve for any creature."
"स्वधर्ममपि चावेक्ष्य न विकम्पितुमर्हसि |
धर्म्याद्धि युद्धाच्छ्रेयोऽन्यत्क्षत्रियस्य न विद्यते ||२-३१||","2.31 Further, having regard to thy duty, shouldst not waver, for there is nothing higher for a Kshatriya than a righteous war."
"यदृच्छया चोपपन्नं स्वर्गद्वारमपावृतम् |
सुखिनः क्षत्रियाः पार्थ लभन्ते युद्धमीदृशम् ||२-३२||","2.32 Happy are the Kshatriyas, O Arjuna! who are called upon to fight in such a battle that comes of itself as an open door to heaven."
"अथ चेत्त्वमिमं धर्म्यं संग्रामं न करिष्यसि |
ततः स्वधर्मं कीर्तिं च हित्वा पापमवाप्स्यसि ||२-३३||","2.33 But if thou wilt not fight this righteous war, then having abandoned thine own duty and fame, thou shalt incur sin."
"अकीर्तिं चापि भूतानि कथयिष्यन्ति तेऽव्ययाम् |
सम्भावितस्य चाकीर्तिर्मरणादतिरिच्यते ||२-३४||","2.34 People, too, will recount thy everlasting dishonour; and to one who has been honoured, dishonour is worse than death."
"भयाद्रणादुपरतं मंस्यन्ते त्वां महारथाः |
येषां च त्वं बहुमतो भूत्वा यास्यसि लाघवम् ||२-३५||",2.35 The great car-warriors will think that thou hast withdrawn from the battle through fear; and thou wilt be lightly held by them who have thought much of thee.
"अवाच्यवादांश्च बहून्वदिष्यन्ति तवाहिताः |
निन्दन्तस्तव सामर्थ्यं ततो दुःखतरं नु किम् ||२-३६||","2.36 Thy enemies also, cavilling at thy power, will speak many abusive words. What is more painful than this?"
"हतो वा प्राप्स्यसि स्वर्गं जित्वा वा भोक्ष्यसे महीम् |
तस्मादुत्तिष्ठ कौन्तेय युद्धाय कृतनिश्चयः ||२-३७||","2.37 Slain, thou wilt obtain heaven; victorious, thou wilt enjoy the earth; therefore, stand up, O son of Kunti, resolved to fight."
"सुखदुःखे समे कृत्वा लाभालाभौ जयाजयौ |
ततो युद्धाय युज्यस्व नैवं पापमवाप्स्यसि ||२-३८||","2.38 Having made pleasure and pain, gain and loss, victory and defeat the same, engage thou in battle for the sake of battle; thus thou shalt not incur sin."
"एषा तेऽभिहिता साङ्ख्ये बुद्धिर्योगे त्विमां शृणु |
बुद्ध्या युक्तो यया पार्थ कर्मबन्धं प्रहास्यसि ||२-३९||","2.39 This, which has been taught to thee, is wisdon concerning Sankhya. Now listen to wisdom concerning Yoga, endowed with which, O Arjuna, thou shalt cast off the bonds of action."
"नेहाभिक्रमनाशोऽस्ति प्रत्यवायो न विद्यते |
स्वल्पमप्यस्य धर्मस्य त्रायते महतो भयात् ||२-४०||","2.40 In this there is no loss of effort, nor is there any harm (production of contrary results or transgression). Even a little of this knowledge (even a little practice of this Yoga) protects one from great fear."
"व्यवसायात्मिका बुद्धिरेकेह कुरुनन्दन |
बहुशाखा ह्यनन्ताश्च बुद्धयोऽव्यवसायिनाम् ||२-४१||","2.41 Here, O joy of the Kurus, there is but a single one-pointed determination; many-branched and endless are the thoughts of the irresolute."
"यामिमां पुष्पितां वाचं प्रवदन्त्यविपश्चितः |
वेदवादरताः पार्थ नान्यदस्तीति वादिनः ||२-४२||","2.42 Flowery speech is uttered by the unwise, taking pleasure in the eulogising words of the Vedas, O Arjuna, saying, ""There is nothing else."""
"कामात्मानः स्वर्गपरा जन्मकर्मफलप्रदाम् |
क्रियाविशेषबहुलां भोगैश्वर्यगतिं प्रति ||२-४३||","2.43 Full of desires, having heaven as their goal, (they utter speech which is directed to ends) leading to new births as the result of their works, and prescribe various methods abounding in specific actions, for the attainment of pleasure and power."
"भोगैश्वर्यप्रसक्तानां तयापहृतचेतसाम् |
व्यवसायात्मिका बुद्धिः समाधौ न विधीयते ||२-४४||","2.44 For those who are attached to pleasure and power, whose minds are drawn away by such teaching, ï1thatï1 determinate reason is not formed which is steadily bent on meditation and Samadhi (superconscious state)."
"त्रैगुण्यविषया वेदा निस्त्रैगुण्यो भवार्जुन |
निर्द्वन्द्वो नित्यसत्त्वस्थो निर्योगक्षेम आत्मवान् ||२-४५||","2.45 The Vedas deal with the three attributes (of Nature); be thou above these three attributes. O Arjuna, free yourself from the pairs of opposites, and ever remain in the ality of Sattva (goodness), freed from (the thought of) acisition and preservation, and be established in the Self."
"यावानर्थ उदपाने सर्वतः सम्प्लुतोदके |
तावान्सर्वेषु वेदेषु ब्राह्मणस्य विजानतः ||२-४६||","2.46 To the Brahmana who has known the Self, all the Vedas are of as much use as is a reservoir of water in a place where there is a flood."
"कर्मण्येवाधिकारस्ते मा फलेषु कदाचन |
मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि ||२-४७||","2.47 Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
"योगस्थः कुरु कर्माणि सङ्गं त्यक्त्वा धनञ्जय |
सिद्ध्यसिद्ध्योः समो भूत्वा समत्वं योग उच्यते ||२-४८||","2.48 Perform action, O Arjuna, being steadfast in Yoga, abandoning attachment and balanced in success and failure. Evenness of mind is called Yoga."
"दूरेण ह्यवरं कर्म बुद्धियोगाद्धनञ्जय |
बुद्धौ शरणमन्विच्छ कृपणाः फलहेतवः ||२-४९||","2.49 Far lower than the Yoga of wisdon is action, O Arjuna. Seek thou refuge in wisdom; wretched are they whose motive is the fruit."
"बुद्धियुक्तो जहातीह उभे सुकृतदुष्कृते |
तस्माद्योगाय युज्यस्व योगः कर्मसु कौशलम् ||२-५०||","2.50 Endowed with wisdom (evenness of mind), one casts off in this life both good and evil deeds; therefore, devote thyself to Yoga; Yoga is skill in action."
"कर्मजं बुद्धियुक्ता हि फलं त्यक्त्वा मनीषिणः |
जन्मबन्धविनिर्मुक्ताः पदं गच्छन्त्यनामयम् ||२-५१||","2.51 The wise, possessed of knowledge, having abandoned the fruits of their actions, and being freed from the fetters of birth, go to the place which is beyond all evil."
"यदा ते मोहकलिलं बुद्धिर्व्यतितरिष्यति |
तदा गन्तासि निर्वेदं श्रोतव्यस्य श्रुतस्य च ||२-५२||","2.52 When thy intellect crosses beyond the mire of delusion, then thou shalt attain to indifference as to what has been heard and what has yet to be heard."
